state,district,month,demo_age_5_17,demo_age_17_,dataset
Andhra Pradesh,Annamayya,2025-10,24,180,demographic
Andhra Pradesh,Annamayya,2025-11,56,336,demographic
Andhra Pradesh,Annamayya,2025-12,41,310,demographic
Andhra Pradesh,Bapatla,2025-01,601,3373,demographic
Andhra Pradesh,Bapatla,2025-02,36,203,demographic
Andhra Pradesh,Bapatla,2025-03,21,226,demographic
Andhra Pradesh,Bapatla,2025-04,20,162,demographic
Andhra Pradesh,Bapatla,2025-05,52,217,demographic
Andhra Pradesh,Bapatla,2025-06,39,240,demographic
Andhra Pradesh,Bapatla,2025-07,32,174,demographic
Andhra Pradesh,Bapatla,2025-08,26,153,demographic
Andhra Pradesh,Bapatla,2025-09,28,196,demographic
Andhra Pradesh,Bapatla,2025-10,11,99,demographic
Andhra Pradesh,Bapatla,2025-11,50,231,demographic
Andhra Pradesh,Bapatla,2025-12,36,232,demographic
Andhra Pradesh,Chittoor,2025-01,7982,50029,demographic
Andhra Pradesh,Chittoor,2025-02,744,2194,demographic
Andhra Pradesh,Chittoor,2025-03,667,2588,demographic
Andhra Pradesh,Chittoor,2025-04,476,2017,demographic
Andhra Pradesh,Chittoor,2025-05,516,1512,demographic
Andhra Pradesh,Chittoor,2025-06,491,1915,demographic
Andhra Pradesh,Chittoor,2025-07,487,1313,demographic
Andhra Pradesh,Chittoor,2025-08,328,1413,demographic
Andhra Pradesh,Chittoor,2025-09,418,1873,demographic
Andhra Pradesh,Chittoor,2025-10,224,1336,demographic
Andhra Pradesh,Chittoor,2025-11,423,2276,demographic
Andhra Pradesh,Chittoor,2025-12,433,2328,demographic
Andhra Pradesh,Cuddapah,2025-01,2208,18047,demographic
Andhra Pradesh,Cuddapah,2025-02,283,1476,demographic
Andhra Pradesh,Cuddapah,2025-03,253,1613,demographic
Andhra Pradesh,Cuddapah,2025-04,204,1373,demographic
Andhra Pradesh,Cuddapah,2025-05,211,894,demographic
Andhra Pradesh,Cuddapah,2025-06,241,1307,demographic
Andhra Pradesh,Cuddapah,2025-07,253,920,demographic
Andhra Pradesh,Cuddapah,2025-08,202,1233,demographic
Andhra Pradesh,Cuddapah,2025-09,149,1062,demographic
Andhra Pradesh,Cuddapah,2025-10,119,1125,demographic
Andhra Pradesh,Cuddapah,2025-11,226,1565,demographic
Andhra Pradesh,Cuddapah,2025-12,215,1557,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,405,2905,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,35,291,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,46,291,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,22,193,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,29,188,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,25,204,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,31,279,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,30,169,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,30,250,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,16,121,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,25,297,demographic
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,24,247,demographic
Andhra Pradesh,East Godavari,2025-01,4460,40423,demographic
Andhra Pradesh,East Godavari,2025-02,396,2271,demographic
Andhra Pradesh,East Godavari,2025-03,417,2793,demographic
Andhra Pradesh,East Godavari,2025-04,307,2174,demographic
Andhra Pradesh,East Godavari,2025-05,217,1282,demographic
Andhra Pradesh,East Godavari,2025-06,324,2056,demographic
Andhra Pradesh,East Godavari,2025-07,355,1573,demographic
Andhra Pradesh,East Godavari,2025-08,261,1716,demographic
Andhra Pradesh,East Godavari,2025-09,272,2182,demographic
Andhra Pradesh,East Godavari,2025-10,218,1750,demographic
Andhra Pradesh,East Godavari,2025-11,292,2552,demographic
Andhra Pradesh,East Godavari,2025-12,294,2621,demographic
Andhra Pradesh,Eluru,2025-01,522,3397,demographic
Andhra Pradesh,Eluru,2025-02,58,369,demographic
Andhra Pradesh,Eluru,2025-03,40,381,demographic
Andhra Pradesh,Eluru,2025-04,23,205,demographic
Andhra Pradesh,Eluru,2025-05,34,225,demographic
Andhra Pradesh,Eluru,2025-06,39,314,demographic
Andhra Pradesh,Eluru,2025-07,78,374,demographic
Andhra Pradesh,Eluru,2025-08,38,240,demographic
Andhra Pradesh,Eluru,2025-09,38,336,demographic
Andhra Pradesh,Eluru,2025-10,24,131,demographic
Andhra Pradesh,Eluru,2025-11,36,313,demographic
Andhra Pradesh,Eluru,2025-12,45,337,demographic
Andhra Pradesh,Guntur,2025-01,5905,53600,demographic
Andhra Pradesh,Guntur,2025-02,495,2185,demographic
Andhra Pradesh,Guntur,2025-03,437,2726,demographic
Andhra Pradesh,Guntur,2025-04,357,2172,demographic
Andhra Pradesh,Guntur,2025-05,315,1460,demographic
Andhra Pradesh,Guntur,2025-06,383,2169,demographic
Andhra Pradesh,Guntur,2025-07,425,1688,demographic
Andhra Pradesh,Guntur,2025-08,246,1472,demographic
Andhra Pradesh,Guntur,2025-09,293,1971,demographic
Andhra Pradesh,Guntur,2025-10,186,1658,demographic
Andhra Pradesh,Guntur,2025-11,343,2487,demographic
Andhra Pradesh,Guntur,2025-12,305,2396,demographic
Andhra Pradesh,Hyderabad,2025-01,677,5440,demographic
Andhra Pradesh,Hyderabad,2025-02,149,870,demographic
Andhra Pradesh,Hyderabad,2025-03,133,1072,demographic
Andhra Pradesh,Hyderabad,2025-04,109,890,demographic
Andhra Pradesh,Hyderabad,2025-05,80,330,demographic
Andhra Pradesh,Hyderabad,2025-06,81,419,demographic
Andhra Pradesh,Hyderabad,2025-07,112,549,demographic
Andhra Pradesh,Hyderabad,2025-08,55,501,demographic
Andhra Pradesh,Hyderabad,2025-09,99,676,demographic
Andhra Pradesh,Hyderabad,2025-10,68,590,demographic
Andhra Pradesh,Hyderabad,2025-11,117,864,demographic
Andhra Pradesh,Hyderabad,2025-12,84,741,demographic
Andhra Pradesh,K.V. Rangareddy,2025-01,1,4,demographic
Andhra Pradesh,K.V. Rangareddy,2025-02,5,6,demographic
Andhra Pradesh,K.V. Rangareddy,2025-03,1,7,demographic
Andhra Pradesh,K.V. Rangareddy,2025-04,0,5,demographic
Andhra Pradesh,K.V. Rangareddy,2025-05,1,1,demographic
Andhra Pradesh,K.V. Rangareddy,2025-06,0,4,demographic
Andhra Pradesh,K.V. Rangareddy,2025-07,0,4,demographic
Andhra Pradesh,K.V. Rangareddy,2025-08,0,3,demographic
Andhra Pradesh,K.V. Rangareddy,2025-09,0,5,demographic
Andhra Pradesh,K.V. Rangareddy,2025-10,2,5,demographic
Andhra Pradesh,K.V. Rangareddy,2025-11,0,3,demographic
Andhra Pradesh,K.V. Rangareddy,2025-12,1,2,demographic
Andhra Pradesh,K.V.Rangareddy,2025-01,2,26,demographic
Andhra Pradesh,K.V.Rangareddy,2025-02,3,12,demographic
Andhra Pradesh,K.V.Rangareddy,2025-03,1,14,demographic
Andhra Pradesh,K.V.Rangareddy,2025-04,2,19,demographic
Andhra Pradesh,K.V.Rangareddy,2025-05,3,4,demographic
Andhra Pradesh,K.V.Rangareddy,2025-06,0,6,demographic
Andhra Pradesh,K.V.Rangareddy,2025-07,2,7,demographic
Andhra Pradesh,K.V.Rangareddy,2025-08,2,8,demographic
Andhra Pradesh,K.V.Rangareddy,2025-09,0,8,demographic
Andhra Pradesh,K.V.Rangareddy,2025-10,0,12,demographic
Andhra Pradesh,K.V.Rangareddy,2025-11,0,15,demographic
Andhra Pradesh,K.V.Rangareddy,2025-12,1,17,demographic
Andhra Pradesh,Kakinada,2025-01,1246,8634,demographic
Andhra Pradesh,Kakinada,2025-02,54,395,demographic
Andhra Pradesh,Kakinada,2025-03,72,474,demographic
Andhra Pradesh,Kakinada,2025-04,32,261,demographic
Andhra Pradesh,Kakinada,2025-05,44,249,demographic
Andhra Pradesh,Kakinada,2025-06,57,339,demographic
Andhra Pradesh,Kakinada,2025-07,56,445,demographic
Andhra Pradesh,Kakinada,2025-08,41,233,demographic
Andhra Pradesh,Kakinada,2025-09,48,400,demographic
Andhra Pradesh,Kakinada,2025-10,26,284,demographic
Andhra Pradesh,Kakinada,2025-11,51,382,demographic
Andhra Pradesh,Kakinada,2025-12,49,366,demographic
Andhra Pradesh,Karim Nagar,2025-01,7,46,demographic
Andhra Pradesh,Karim Nagar,2025-02,3,45,demographic
Andhra Pradesh,Karim Nagar,2025-03,4,42,demographic
Andhra Pradesh,Karim Nagar,2025-04,4,46,demographic
Andhra Pradesh,Karim Nagar,2025-05,1,5,demographic
Andhra Pradesh,Karim Nagar,2025-06,1,22,demographic
Andhra Pradesh,Karim Nagar,2025-07,1,20,demographic
Andhra Pradesh,Karim Nagar,2025-08,2,32,demographic
Andhra Pradesh,Karim Nagar,2025-09,4,26,demographic
Andhra Pradesh,Karim Nagar,2025-10,1,20,demographic
Andhra Pradesh,Karim Nagar,2025-11,1,26,demographic
Andhra Pradesh,Karim Nagar,2025-12,4,36,demographic
Andhra Pradesh,Karimnagar,2025-01,98,865,demographic
Andhra Pradesh,Karimnagar,2025-02,35,301,demographic
Andhra Pradesh,Karimnagar,2025-03,23,343,demographic
Andhra Pradesh,Karimnagar,2025-04,53,510,demographic
Andhra Pradesh,Karimnagar,2025-05,15,93,demographic
Andhra Pradesh,Karimnagar,2025-06,17,185,demographic
Andhra Pradesh,Karimnagar,2025-07,32,183,demographic
Andhra Pradesh,Karimnagar,2025-08,13,135,demographic
Andhra Pradesh,Karimnagar,2025-09,20,207,demographic
Andhra Pradesh,Karimnagar,2025-10,19,247,demographic
Andhra Pradesh,Karimnagar,2025-11,23,212,demographic
Andhra Pradesh,Karimnagar,2025-12,34,313,demographic
Andhra Pradesh,Khammam,2025-01,486,4807,demographic
Andhra Pradesh,Khammam,2025-02,171,795,demographic
Andhra Pradesh,Khammam,2025-03,139,794,demographic
Andhra Pradesh,Khammam,2025-04,176,943,demographic
Andhra Pradesh,Khammam,2025-05,80,245,demographic
Andhra Pradesh,Khammam,2025-06,90,464,demographic
Andhra Pradesh,Khammam,2025-07,160,431,demographic
Andhra Pradesh,Khammam,2025-08,112,424,demographic
Andhra Pradesh,Khammam,2025-09,124,541,demographic
Andhra Pradesh,Khammam,2025-10,83,566,demographic
Andhra Pradesh,Khammam,2025-11,110,688,demographic
Andhra Pradesh,Khammam,2025-12,117,728,demographic
Andhra Pradesh,Krishna,2025-01,2780,26614,demographic
Andhra Pradesh,Krishna,2025-02,357,2048,demographic
Andhra Pradesh,Krishna,2025-03,302,2223,demographic
Andhra Pradesh,Krishna,2025-04,288,1929,demographic
Andhra Pradesh,Krishna,2025-05,212,1174,demographic
Andhra Pradesh,Krishna,2025-06,226,1702,demographic
Andhra Pradesh,Krishna,2025-07,273,1318,demographic
Andhra Pradesh,Krishna,2025-08,195,1358,demographic
Andhra Pradesh,Krishna,2025-09,220,1694,demographic
Andhra Pradesh,Krishna,2025-10,186,1588,demographic
Andhra Pradesh,Krishna,2025-11,262,2051,demographic
Andhra Pradesh,Krishna,2025-12,207,1950,demographic
Andhra Pradesh,Kurnool,2025-01,9692,57612,demographic
Andhra Pradesh,Kurnool,2025-02,652,2061,demographic
Andhra Pradesh,Kurnool,2025-03,539,2360,demographic
Andhra Pradesh,Kurnool,2025-04,462,2269,demographic
Andhra Pradesh,Kurnool,2025-05,425,1400,demographic
Andhra Pradesh,Kurnool,2025-06,387,1743,demographic
Andhra Pradesh,Kurnool,2025-07,532,1501,demographic
Andhra Pradesh,Kurnool,2025-08,325,1337,demographic
Andhra Pradesh,Kurnool,2025-09,344,1558,demographic
Andhra Pradesh,Kurnool,2025-10,240,1590,demographic
Andhra Pradesh,Kurnool,2025-11,389,2135,demographic
Andhra Pradesh,Kurnool,2025-12,331,1705,demographic
Andhra Pradesh,Mahabub Nagar,2025-01,24,565,demographic
Andhra Pradesh,Mahabub Nagar,2025-02,9,355,demographic
Andhra Pradesh,Mahabub Nagar,2025-03,10,418,demographic
Andhra Pradesh,Mahabub Nagar,2025-04,13,636,demographic
Andhra Pradesh,Mahabub Nagar,2025-05,19,145,demographic
Andhra Pradesh,Mahabub Nagar,2025-06,7,273,demographic
Andhra Pradesh,Mahabub Nagar,2025-07,14,221,demographic
Andhra Pradesh,Mahabub Nagar,2025-08,9,233,demographic
Andhra Pradesh,Mahabub Nagar,2025-09,16,327,demographic
Andhra Pradesh,Mahabub Nagar,2025-10,4,342,demographic
Andhra Pradesh,Mahabub Nagar,2025-11,11,343,demographic
Andhra Pradesh,Mahabub Nagar,2025-12,11,302,demographic
Andhra Pradesh,Mahabubnagar,2025-01,0,2,demographic
Andhra Pradesh,Mahabubnagar,2025-02,1,4,demographic
Andhra Pradesh,Mahabubnagar,2025-03,0,3,demographic
Andhra Pradesh,Mahabubnagar,2025-04,1,4,demographic
Andhra Pradesh,Mahabubnagar,2025-06,0,3,demographic
Andhra Pradesh,Mahabubnagar,2025-07,1,2,demographic
Andhra Pradesh,Mahabubnagar,2025-08,0,1,demographic
Andhra Pradesh,Mahabubnagar,2025-09,0,1,demographic
Andhra Pradesh,Mahabubnagar,2025-10,0,2,demographic
Andhra Pradesh,Mahabubnagar,2025-11,0,3,demographic
Andhra Pradesh,Mahabubnagar,2025-12,1,2,demographic
Andhra Pradesh,Mahbubnagar,2025-01,176,1234,demographic
Andhra Pradesh,Mahbubnagar,2025-02,32,274,demographic
Andhra Pradesh,Mahbubnagar,2025-03,26,258,demographic
Andhra Pradesh,Mahbubnagar,2025-04,47,377,demographic
Andhra Pradesh,Mahbubnagar,2025-05,23,58,demographic
Andhra Pradesh,Mahbubnagar,2025-06,24,181,demographic
Andhra Pradesh,Mahbubnagar,2025-07,53,140,demographic
Andhra Pradesh,Mahbubnagar,2025-08,28,181,demographic
Andhra Pradesh,Mahbubnagar,2025-09,28,211,demographic
Andhra Pradesh,Mahbubnagar,2025-10,20,179,demographic
Andhra Pradesh,Mahbubnagar,2025-11,30,215,demographic
Andhra Pradesh,Mahbubnagar,2025-12,31,221,demographic
Andhra Pradesh,Medak,2025-01,221,1445,demographic
Andhra Pradesh,Medak,2025-02,55,308,demographic
Andhra Pradesh,Medak,2025-03,46,381,demographic
Andhra Pradesh,Medak,2025-04,94,551,demographic
Andhra Pradesh,Medak,2025-05,34,127,demographic
Andhra Pradesh,Medak,2025-06,35,246,demographic
Andhra Pradesh,Medak,2025-07,66,202,demographic
Andhra Pradesh,Medak,2025-08,30,225,demographic
Andhra Pradesh,Medak,2025-09,39,251,demographic
Andhra Pradesh,Medak,2025-10,28,259,demographic
Andhra Pradesh,Medak,2025-11,35,290,demographic
Andhra Pradesh,Medak,2025-12,27,226,demographic
Andhra Pradesh,N. T. R,2025-01,1574,11468,demographic
Andhra Pradesh,N. T. R,2025-02,88,598,demographic
Andhra Pradesh,N. T. R,2025-03,85,517,demographic
Andhra Pradesh,N. T. R,2025-04,66,467,demographic
Andhra Pradesh,N. T. R,2025-05,48,376,demographic
Andhra Pradesh,N. T. R,2025-06,77,502,demographic
Andhra Pradesh,N. T. R,2025-07,69,555,demographic
Andhra Pradesh,N. T. R,2025-08,28,227,demographic
Andhra Pradesh,N. T. R,2025-09,66,498,demographic
Andhra Pradesh,N. T. R,2025-10,43,301,demographic
Andhra Pradesh,N. T. R,2025-11,53,511,demographic
Andhra Pradesh,N. T. R,2025-12,43,390,demographic
Andhra Pradesh,Nalgonda,2025-01,143,2390,demographic
Andhra Pradesh,Nalgonda,2025-02,47,738,demographic
Andhra Pradesh,Nalgonda,2025-03,43,862,demographic
Andhra Pradesh,Nalgonda,2025-04,113,1719,demographic
Andhra Pradesh,Nalgonda,2025-05,30,335,demographic
Andhra Pradesh,Nalgonda,2025-06,31,494,demographic
Andhra Pradesh,Nalgonda,2025-07,57,462,demographic
Andhra Pradesh,Nalgonda,2025-08,38,634,demographic
Andhra Pradesh,Nalgonda,2025-09,40,595,demographic
Andhra Pradesh,Nalgonda,2025-10,38,709,demographic
Andhra Pradesh,Nalgonda,2025-11,38,582,demographic
Andhra Pradesh,Nalgonda,2025-12,29,601,demographic
Andhra Pradesh,Nandyal,2025-01,2070,9499,demographic
Andhra Pradesh,Nandyal,2025-02,58,295,demographic
Andhra Pradesh,Nandyal,2025-03,63,294,demographic
Andhra Pradesh,Nandyal,2025-04,39,248,demographic
Andhra Pradesh,Nandyal,2025-05,47,241,demographic
Andhra Pradesh,Nandyal,2025-06,35,214,demographic
Andhra Pradesh,Nandyal,2025-07,63,300,demographic
Andhra Pradesh,Nandyal,2025-08,42,223,demographic
Andhra Pradesh,Nandyal,2025-09,58,213,demographic
Andhra Pradesh,Nandyal,2025-10,47,221,demographic
Andhra Pradesh,Nandyal,2025-11,43,197,demographic
Andhra Pradesh,Nandyal,2025-12,29,180,demographic
Andhra Pradesh,Nellore,2025-01,899,12649,demographic
Andhra Pradesh,Nellore,2025-02,259,1232,demographic
Andhra Pradesh,Nellore,2025-03,188,1339,demographic
Andhra Pradesh,Nellore,2025-04,235,1704,demographic
Andhra Pradesh,Nellore,2025-05,162,1028,demographic
Andhra Pradesh,Nellore,2025-06,155,1194,demographic
Andhra Pradesh,Nellore,2025-07,154,813,demographic
Andhra Pradesh,Nellore,2025-08,147,1238,demographic
Andhra Pradesh,Nellore,2025-09,130,959,demographic
Andhra Pradesh,Nellore,2025-10,138,1428,demographic
Andhra Pradesh,Nellore,2025-11,153,1325,demographic
Andhra Pradesh,Nellore,2025-12,127,1167,demographic
Andhra Pradesh,Nizamabad,2025-01,57,434,demographic
Andhra Pradesh,Nizamabad,2025-02,27,189,demographic
Andhra Pradesh,Nizamabad,2025-03,26,134,demographic
Andhra Pradesh,Nizamabad,2025-04,56,323,demographic
Andhra Pradesh,Nizamabad,2025-05,14,57,demographic
Andhra Pradesh,Nizamabad,2025-06,15,66,demographic
Andhra Pradesh,Nizamabad,2025-07,24,102,demographic
Andhra Pradesh,Nizamabad,2025-08,22,95,demographic
Andhra Pradesh,Nizamabad,2025-09,17,89,demographic
Andhra Pradesh,Nizamabad,2025-10,9,141,demographic
Andhra Pradesh,Nizamabad,2025-11,22,107,demographic
Andhra Pradesh,Nizamabad,2025-12,11,100,demographic
Andhra Pradesh,Palnadu,2025-01,1470,8151,demographic
Andhra Pradesh,Palnadu,2025-02,54,344,demographic
Andhra Pradesh,Palnadu,2025-03,36,303,demographic
