state,district,month,bio_age_5_17,bio_age_17_,dataset
Andaman And Nicobar Islands,South Andaman,2025-08,142,44,biometric
Andaman And Nicobar Islands,South Andaman,2025-09,180,43,biometric
Andaman And Nicobar Islands,South Andaman,2025-10,126,35,biometric
Andaman And Nicobar Islands,South Andaman,2025-11,141,44,biometric
Andaman And Nicobar Islands,South Andaman,2025-12,113,55,biometric
Andhra Pradesh,Adilabad,2025-01,6035,20122,biometric
Andhra Pradesh,Adilabad,2025-02,268,888,biometric
Andhra Pradesh,Adilabad,2025-03,219,740,biometric
Andhra Pradesh,Adilabad,2025-04,329,1024,biometric
Andhra Pradesh,Adilabad,2025-05,148,481,biometric
Andhra Pradesh,Adilabad,2025-06,219,689,biometric
Andhra Pradesh,Adilabad,2025-07,98,304,biometric
Andhra Pradesh,Adilabad,2025-08,277,826,biometric
Andhra Pradesh,Adilabad,2025-09,179,683,biometric
Andhra Pradesh,Adilabad,2025-10,216,630,biometric
Andhra Pradesh,Adilabad,2025-11,199,669,biometric
Andhra Pradesh,Adilabad,2025-12,233,1021,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-01,5218,5934,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-02,169,189,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-03,108,113,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-04,189,225,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-05,116,161,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-06,112,127,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-07,69,74,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-08,134,146,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-09,114,130,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-10,112,122,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-11,101,130,biometric
Andhra Pradesh,Alluri Sitharama Raju,2025-12,140,143,biometric
Andhra Pradesh,Anakapalli,2025-01,2226,1843,biometric
Andhra Pradesh,Anakapalli,2025-02,33,39,biometric
Andhra Pradesh,Anakapalli,2025-03,31,42,biometric
Andhra Pradesh,Anakapalli,2025-04,41,76,biometric
Andhra Pradesh,Anakapalli,2025-05,29,31,biometric
Andhra Pradesh,Anakapalli,2025-06,54,73,biometric
Andhra Pradesh,Anakapalli,2025-07,18,14,biometric
Andhra Pradesh,Anakapalli,2025-08,48,57,biometric
Andhra Pradesh,Anakapalli,2025-09,33,47,biometric
Andhra Pradesh,Anakapalli,2025-10,28,40,biometric
Andhra Pradesh,Anakapalli,2025-11,30,47,biometric
Andhra Pradesh,Anakapalli,2025-12,46,45,biometric
Andhra Pradesh,Anantapur,2025-01,21756,32725,biometric
Andhra Pradesh,Anantapur,2025-02,423,1044,biometric
Andhra Pradesh,Anantapur,2025-03,423,930,biometric
Andhra Pradesh,Anantapur,2025-04,738,1370,biometric
Andhra Pradesh,Anantapur,2025-05,394,922,biometric
Andhra Pradesh,Anantapur,2025-06,520,1120,biometric
Andhra Pradesh,Anantapur,2025-07,295,412,biometric
Andhra Pradesh,Anantapur,2025-08,463,888,biometric
Andhra Pradesh,Anantapur,2025-09,284,868,biometric
Andhra Pradesh,Anantapur,2025-10,467,760,biometric
Andhra Pradesh,Anantapur,2025-11,343,808,biometric
Andhra Pradesh,Anantapur,2025-12,410,1170,biometric
Andhra Pradesh,Ananthapur,2025-01,50370,11369,biometric
Andhra Pradesh,Ananthapur,2025-02,439,352,biometric
Andhra Pradesh,Ananthapur,2025-03,457,320,biometric
Andhra Pradesh,Ananthapur,2025-04,650,431,biometric
Andhra Pradesh,Ananthapur,2025-05,344,318,biometric
Andhra Pradesh,Ananthapur,2025-06,499,379,biometric
Andhra Pradesh,Ananthapur,2025-07,234,156,biometric
Andhra Pradesh,Ananthapur,2025-08,376,295,biometric
Andhra Pradesh,Ananthapur,2025-09,345,315,biometric
Andhra Pradesh,Ananthapur,2025-10,387,264,biometric
Andhra Pradesh,Ananthapur,2025-11,389,315,biometric
Andhra Pradesh,Ananthapur,2025-12,352,400,biometric
Andhra Pradesh,Ananthapuramu,2025-01,71315,12098,biometric
Andhra Pradesh,Ananthapuramu,2025-02,684,285,biometric
Andhra Pradesh,Ananthapuramu,2025-03,549,248,biometric
Andhra Pradesh,Ananthapuramu,2025-04,860,403,biometric
Andhra Pradesh,Ananthapuramu,2025-05,426,220,biometric
Andhra Pradesh,Ananthapuramu,2025-06,683,300,biometric
Andhra Pradesh,Ananthapuramu,2025-07,282,116,biometric
Andhra Pradesh,Ananthapuramu,2025-08,471,242,biometric
Andhra Pradesh,Ananthapuramu,2025-09,420,275,biometric
Andhra Pradesh,Ananthapuramu,2025-10,563,224,biometric
Andhra Pradesh,Ananthapuramu,2025-11,455,271,biometric
Andhra Pradesh,Ananthapuramu,2025-12,591,326,biometric
Andhra Pradesh,Annamayya,2025-01,3658,2294,biometric
Andhra Pradesh,Annamayya,2025-02,65,69,biometric
Andhra Pradesh,Annamayya,2025-03,40,56,biometric
Andhra Pradesh,Annamayya,2025-04,92,80,biometric
Andhra Pradesh,Annamayya,2025-05,52,65,biometric
Andhra Pradesh,Annamayya,2025-06,63,79,biometric
Andhra Pradesh,Annamayya,2025-07,27,19,biometric
Andhra Pradesh,Annamayya,2025-08,54,73,biometric
Andhra Pradesh,Annamayya,2025-09,47,60,biometric
Andhra Pradesh,Annamayya,2025-10,53,59,biometric
Andhra Pradesh,Annamayya,2025-11,64,64,biometric
Andhra Pradesh,Annamayya,2025-12,64,63,biometric
Andhra Pradesh,Bapatla,2025-01,1908,1253,biometric
Andhra Pradesh,Bapatla,2025-02,84,38,biometric
Andhra Pradesh,Bapatla,2025-03,55,35,biometric
Andhra Pradesh,Bapatla,2025-04,109,61,biometric
Andhra Pradesh,Bapatla,2025-05,78,27,biometric
Andhra Pradesh,Bapatla,2025-06,68,38,biometric
Andhra Pradesh,Bapatla,2025-07,47,12,biometric
Andhra Pradesh,Bapatla,2025-08,49,24,biometric
Andhra Pradesh,Bapatla,2025-09,49,23,biometric
Andhra Pradesh,Bapatla,2025-10,49,27,biometric
Andhra Pradesh,Bapatla,2025-11,52,39,biometric
Andhra Pradesh,Bapatla,2025-12,72,42,biometric
Andhra Pradesh,Chittoor,2025-01,112614,50232,biometric
Andhra Pradesh,Chittoor,2025-02,1530,1360,biometric
Andhra Pradesh,Chittoor,2025-03,1862,1110,biometric
Andhra Pradesh,Chittoor,2025-04,3600,1824,biometric
Andhra Pradesh,Chittoor,2025-05,2410,1134,biometric
Andhra Pradesh,Chittoor,2025-06,2394,1457,biometric
Andhra Pradesh,Chittoor,2025-07,1382,536,biometric
Andhra Pradesh,Chittoor,2025-08,1478,1300,biometric
Andhra Pradesh,Chittoor,2025-09,1090,1252,biometric
Andhra Pradesh,Chittoor,2025-10,1298,1155,biometric
Andhra Pradesh,Chittoor,2025-11,1237,1215,biometric
Andhra Pradesh,Chittoor,2025-12,1753,1640,biometric
Andhra Pradesh,Cuddapah,2025-01,79058,31889,biometric
Andhra Pradesh,Cuddapah,2025-02,1470,962,biometric
Andhra Pradesh,Cuddapah,2025-03,1132,968,biometric
Andhra Pradesh,Cuddapah,2025-04,1592,1189,biometric
Andhra Pradesh,Cuddapah,2025-05,1110,841,biometric
Andhra Pradesh,Cuddapah,2025-06,1144,877,biometric
Andhra Pradesh,Cuddapah,2025-07,558,372,biometric
Andhra Pradesh,Cuddapah,2025-08,963,874,biometric
Andhra Pradesh,Cuddapah,2025-09,818,864,biometric
Andhra Pradesh,Cuddapah,2025-10,841,744,biometric
Andhra Pradesh,Cuddapah,2025-11,1101,949,biometric
Andhra Pradesh,Cuddapah,2025-12,1156,1030,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,2005,1726,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,72,49,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,65,47,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,102,61,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,54,47,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,62,58,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,28,21,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,46,48,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,51,43,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,50,33,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,57,57,biometric
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,79,54,biometric
Andhra Pradesh,East Godavari,2025-01,133483,61304,biometric
Andhra Pradesh,East Godavari,2025-02,2196,1256,biometric
Andhra Pradesh,East Godavari,2025-03,1926,1333,biometric
Andhra Pradesh,East Godavari,2025-04,3033,1867,biometric
Andhra Pradesh,East Godavari,2025-05,2108,1216,biometric
Andhra Pradesh,East Godavari,2025-06,2270,1375,biometric
Andhra Pradesh,East Godavari,2025-07,1435,596,biometric
Andhra Pradesh,East Godavari,2025-08,1919,1221,biometric
Andhra Pradesh,East Godavari,2025-09,1427,1320,biometric
Andhra Pradesh,East Godavari,2025-10,1634,1192,biometric
Andhra Pradesh,East Godavari,2025-11,1890,1469,biometric
Andhra Pradesh,East Godavari,2025-12,2313,1788,biometric
Andhra Pradesh,Eluru,2025-01,2609,2627,biometric
Andhra Pradesh,Eluru,2025-02,58,44,biometric
Andhra Pradesh,Eluru,2025-03,65,68,biometric
Andhra Pradesh,Eluru,2025-04,78,84,biometric
Andhra Pradesh,Eluru,2025-05,50,39,biometric
Andhra Pradesh,Eluru,2025-06,50,58,biometric
Andhra Pradesh,Eluru,2025-07,29,19,biometric
Andhra Pradesh,Eluru,2025-08,43,52,biometric
Andhra Pradesh,Eluru,2025-09,54,60,biometric
Andhra Pradesh,Eluru,2025-10,50,45,biometric
Andhra Pradesh,Eluru,2025-11,63,60,biometric
Andhra Pradesh,Eluru,2025-12,47,65,biometric
Andhra Pradesh,Guntur,2025-01,130649,64403,biometric
Andhra Pradesh,Guntur,2025-02,1955,1623,biometric
Andhra Pradesh,Guntur,2025-03,1696,1671,biometric
Andhra Pradesh,Guntur,2025-04,2574,2145,biometric
Andhra Pradesh,Guntur,2025-05,1765,1317,biometric
Andhra Pradesh,Guntur,2025-06,2006,1596,biometric
Andhra Pradesh,Guntur,2025-07,1247,575,biometric
Andhra Pradesh,Guntur,2025-08,1853,1338,biometric
Andhra Pradesh,Guntur,2025-09,1430,1421,biometric
Andhra Pradesh,Guntur,2025-10,1712,1466,biometric
Andhra Pradesh,Guntur,2025-11,1851,1467,biometric
Andhra Pradesh,Guntur,2025-12,2262,1934,biometric
Andhra Pradesh,Hyderabad,2025-01,12449,50539,biometric
Andhra Pradesh,Hyderabad,2025-02,507,1192,biometric
Andhra Pradesh,Hyderabad,2025-03,426,1252,biometric
Andhra Pradesh,Hyderabad,2025-04,597,1735,biometric
Andhra Pradesh,Hyderabad,2025-05,245,707,biometric
Andhra Pradesh,Hyderabad,2025-06,379,950,biometric
Andhra Pradesh,Hyderabad,2025-07,219,487,biometric
Andhra Pradesh,Hyderabad,2025-08,466,1291,biometric
Andhra Pradesh,Hyderabad,2025-09,344,1280,biometric
Andhra Pradesh,Hyderabad,2025-10,362,1131,biometric
Andhra Pradesh,Hyderabad,2025-11,443,1530,biometric
Andhra Pradesh,Hyderabad,2025-12,440,1605,biometric
Andhra Pradesh,K.V. Rangareddy,2025-01,40,25,biometric
Andhra Pradesh,K.V. Rangareddy,2025-02,7,9,biometric
Andhra Pradesh,K.V. Rangareddy,2025-03,5,5,biometric
Andhra Pradesh,K.V. Rangareddy,2025-04,10,16,biometric
Andhra Pradesh,K.V. Rangareddy,2025-05,0,5,biometric
Andhra Pradesh,K.V. Rangareddy,2025-06,3,5,biometric
Andhra Pradesh,K.V. Rangareddy,2025-07,2,2,biometric
Andhra Pradesh,K.V. Rangareddy,2025-08,1,9,biometric
Andhra Pradesh,K.V. Rangareddy,2025-09,5,3,biometric
Andhra Pradesh,K.V. Rangareddy,2025-10,1,5,biometric
Andhra Pradesh,K.V. Rangareddy,2025-11,1,6,biometric
Andhra Pradesh,K.V. Rangareddy,2025-12,13,9,biometric
Andhra Pradesh,K.V.Rangareddy,2025-01,17,25,biometric
Andhra Pradesh,K.V.Rangareddy,2025-02,12,19,biometric
Andhra Pradesh,K.V.Rangareddy,2025-03,9,19,biometric
Andhra Pradesh,K.V.Rangareddy,2025-04,6,27,biometric
Andhra Pradesh,K.V.Rangareddy,2025-05,4,4,biometric
Andhra Pradesh,K.V.Rangareddy,2025-06,3,16,biometric
Andhra Pradesh,K.V.Rangareddy,2025-07,2,13,biometric
Andhra Pradesh,K.V.Rangareddy,2025-08,3,16,biometric
Andhra Pradesh,K.V.Rangareddy,2025-09,5,19,biometric
Andhra Pradesh,K.V.Rangareddy,2025-10,2,18,biometric
Andhra Pradesh,K.V.Rangareddy,2025-11,9,22,biometric
Andhra Pradesh,K.V.Rangareddy,2025-12,4,33,biometric
Andhra Pradesh,Kakinada,2025-01,3970,3033,biometric
Andhra Pradesh,Kakinada,2025-02,94,55,biometric
Andhra Pradesh,Kakinada,2025-03,67,66,biometric
Andhra Pradesh,Kakinada,2025-04,154,87,biometric
Andhra Pradesh,Kakinada,2025-05,96,48,biometric
Andhra Pradesh,Kakinada,2025-06,117,67,biometric
Andhra Pradesh,Kakinada,2025-07,84,24,biometric
Andhra Pradesh,Kakinada,2025-08,85,52,biometric
Andhra Pradesh,Kakinada,2025-09,64,81,biometric
Andhra Pradesh,Kakinada,2025-10,60,42,biometric
Andhra Pradesh,Kakinada,2025-11,85,63,biometric
Andhra Pradesh,Kakinada,2025-12,113,91,biometric
Andhra Pradesh,Karim Nagar,2025-01,131,472,biometric
Andhra Pradesh,Karim Nagar,2025-02,10,33,biometric
Andhra Pradesh,Karim Nagar,2025-03,13,26,biometric
Andhra Pradesh,Karim Nagar,2025-04,16,44,biometric
Andhra Pradesh,Karim Nagar,2025-05,9,23,biometric
Andhra Pradesh,Karim Nagar,2025-06,11,43,biometric
Andhra Pradesh,Karim Nagar,2025-07,8,13,biometric
Andhra Pradesh,Karim Nagar,2025-08,8,35,biometric
Andhra Pradesh,Karim Nagar,2025-09,7,42,biometric
Andhra Pradesh,Karim Nagar,2025-10,9,30,biometric
Andhra Pradesh,Karim Nagar,2025-11,10,39,biometric
Andhra Pradesh,Karim Nagar,2025-12,10,54,biometric
Andhra Pradesh,Karimnagar,2025-01,1830,5855,biometric
Andhra Pradesh,Karimnagar,2025-02,106,311,biometric
Andhra Pradesh,Karimnagar,2025-03,106,306,biometric
Andhra Pradesh,Karimnagar,2025-04,178,422,biometric
Andhra Pradesh,Karimnagar,2025-05,80,140,biometric
Andhra Pradesh,Karimnagar,2025-06,105,194,biometric
Andhra Pradesh,Karimnagar,2025-07,63,105,biometric
Andhra Pradesh,Karimnagar,2025-08,88,219,biometric
Andhra Pradesh,Karimnagar,2025-09,93,299,biometric
Andhra Pradesh,Karimnagar,2025-10,93,339,biometric
Andhra Pradesh,Karimnagar,2025-11,97,347,biometric
Andhra Pradesh,Karimnagar,2025-12,84,362,biometric
Andhra Pradesh,Khammam,2025-01,7323,15475,biometric
Andhra Pradesh,Khammam,2025-02,330,359,biometric
Andhra Pradesh,Khammam,2025-03,297,329,biometric
Andhra Pradesh,Khammam,2025-04,513,492,biometric
Andhra Pradesh,Khammam,2025-05,144,196,biometric
Andhra Pradesh,Khammam,2025-06,273,295,biometric
Andhra Pradesh,Khammam,2025-07,190,159,biometric
Andhra Pradesh,Khammam,2025-08,297,347,biometric
Andhra Pradesh,Khammam,2025-09,187,366,biometric
Andhra Pradesh,Khammam,2025-10,258,323,biometric
Andhra Pradesh,Khammam,2025-11,350,387,biometric
Andhra Pradesh,Khammam,2025-12,359,452,biometric
Andhra Pradesh,Krishna,2025-01,100551,52440,biometric
Andhra Pradesh,Krishna,2025-02,1499,1473,biometric
Andhra Pradesh,Krishna,2025-03,1269,1414,biometric
Andhra Pradesh,Krishna,2025-04,2173,1765,biometric
Andhra Pradesh,Krishna,2025-05,1577,1089,biometric
Andhra Pradesh,Krishna,2025-06,1826,1398,biometric
Andhra Pradesh,Krishna,2025-07,1267,558,biometric
Andhra Pradesh,Krishna,2025-08,1642,1344,biometric
Andhra Pradesh,Krishna,2025-09,962,1287,biometric
Andhra Pradesh,Krishna,2025-10,1126,1160,biometric
Andhra Pradesh,Krishna,2025-11,1335,1431,biometric
Andhra Pradesh,Krishna,2025-12,1783,1778,biometric
Andhra Pradesh,Kurnool,2025-01,176069,63924,biometric
Andhra Pradesh,Kurnool,2025-02,2705,1773,biometric
Andhra Pradesh,Kurnool,2025-03,2363,1795,biometric
Andhra Pradesh,Kurnool,2025-04,3250,2588,biometric
Andhra Pradesh,Kurnool,2025-05,1844,1381,biometric
Andhra Pradesh,Kurnool,2025-06,2316,1784,biometric
Andhra Pradesh,Kurnool,2025-07,1207,734,biometric
Andhra Pradesh,Kurnool,2025-08,1961,1559,biometric
Andhra Pradesh,Kurnool,2025-09,1603,1616,biometric
Andhra Pradesh,Kurnool,2025-10,1446,1313,biometric
Andhra Pradesh,Kurnool,2025-11,1986,1707,biometric
Andhra Pradesh,Kurnool,2025-12,2126,2121,biometric
Andhra Pradesh,Mahabub Nagar,2025-01,284,1713,biometric
Andhra Pradesh,Mahabub Nagar,2025-02,21,416,biometric
Andhra Pradesh,Mahabub Nagar,2025-03,23,450,biometric
Andhra Pradesh,Mahabub Nagar,2025-04,29,598,biometric
Andhra Pradesh,Mahabub Nagar,2025-05,17,207,biometric
Andhra Pradesh,Mahabub Nagar,2025-06,17,348,biometric
Andhra Pradesh,Mahabub Nagar,2025-07,12,176,biometric
Andhra Pradesh,Mahabub Nagar,2025-08,28,455,biometric
Andhra Pradesh,Mahabub Nagar,2025-09,20,390,biometric
Andhra Pradesh,Mahabub Nagar,2025-10,20,400,biometric
Andhra Pradesh,Mahabub Nagar,2025-11,16,434,biometric
Andhra Pradesh,Mahabub Nagar,2025-12,22,557,biometric
Andhra Pradesh,Mahabubnagar,2025-01,3,4,biometric
Andhra Pradesh,Mahabubnagar,2025-02,2,6,biometric
Andhra Pradesh,Mahabubnagar,2025-03,1,1,biometric
Andhra Pradesh,Mahabubnagar,2025-04,0,4,biometric
Andhra Pradesh,Mahabubnagar,2025-05,2,2,biometric
Andhra Pradesh,Mahabubnagar,2025-06,2,1,biometric
Andhra Pradesh,Mahabubnagar,2025-07,0,1,biometric
Andhra Pradesh,Mahabubnagar,2025-08,3,3,biometric
Andhra Pradesh,Mahabubnagar,2025-09,0,1,biometric
Andhra Pradesh,Mahabubnagar,2025-10,2,6,biometric
Andhra Pradesh,Mahabubnagar,2025-11,0,1,biometric
Andhra Pradesh,Mahabubnagar,2025-12,0,3,biometric
Andhra Pradesh,Mahbubnagar,2025-01,1447,5048,biometric
Andhra Pradesh,Mahbubnagar,2025-02,51,257,biometric
Andhra Pradesh,Mahbubnagar,2025-03,66,307,biometric
Andhra Pradesh,Mahbubnagar,2025-04,115,356,biometric
Andhra Pradesh,Mahbubnagar,2025-05,50,136,biometric
Andhra Pradesh,Mahbubnagar,2025-06,67,211,biometric
Andhra Pradesh,Mahbubnagar,2025-07,40,107,biometric
Andhra Pradesh,Mahbubnagar,2025-08,69,220,biometric
Andhra Pradesh,Mahbubnagar,2025-09,44,292,biometric
Andhra Pradesh,Mahbubnagar,2025-10,46,219,biometric
Andhra Pradesh,Mahbubnagar,2025-11,62,265,biometric
Andhra Pradesh,Mahbubnagar,2025-12,53,306,biometric
Andhra Pradesh,Medak,2025-01,2600,7559,biometric
Andhra Pradesh,Medak,2025-02,109,406,biometric
Andhra Pradesh,Medak,2025-03,155,400,biometric
Andhra Pradesh,Medak,2025-04,216,525,biometric
Andhra Pradesh,Medak,2025-05,85,185,biometric
Andhra Pradesh,Medak,2025-06,130,300,biometric
Andhra Pradesh,Medak,2025-07,82,129,biometric
Andhra Pradesh,Medak,2025-08,128,287,biometric
Andhra Pradesh,Medak,2025-09,106,393,biometric
Andhra Pradesh,Medak,2025-10,144,283,biometric
Andhra Pradesh,Medak,2025-11,166,342,biometric
Andhra Pradesh,Medak,2025-12,135,359,biometric
Andhra Pradesh,N. T. R,2025-01,4296,4709,biometric
Andhra Pradesh,N. T. R,2025-02,91,82,biometric
Andhra Pradesh,N. T. R,2025-03,69,95,biometric
Andhra Pradesh,N. T. R,2025-04,101,97,biometric
Andhra Pradesh,N. T. R,2025-05,69,80,biometric
Andhra Pradesh,N. T. R,2025-06,88,85,biometric
Andhra Pradesh,N. T. R,2025-07,70,37,biometric
Andhra Pradesh,N. T. R,2025-08,82,96,biometric
Andhra Pradesh,N. T. R,2025-09,53,82,biometric
Andhra Pradesh,N. T. R,2025-10,66,65,biometric
Andhra Pradesh,N. T. R,2025-11,82,85,biometric
Andhra Pradesh,N. T. R,2025-12,99,78,biometric
Andhra Pradesh,Nalgonda,2025-01,2495,11597,biometric
Andhra Pradesh,Nalgonda,2025-02,130,630,biometric
Andhra Pradesh,Nalgonda,2025-03,133,626,biometric
Andhra Pradesh,Nalgonda,2025-04,180,777,biometric
Andhra Pradesh,Nalgonda,2025-05,93,333,biometric
Andhra Pradesh,Nalgonda,2025-06,112,506,biometric
Andhra Pradesh,Nalgonda,2025-07,73,214,biometric
Andhra Pradesh,Nalgonda,2025-08,120,509,biometric
Andhra Pradesh,Nalgonda,2025-09,116,523,biometric
Andhra Pradesh,Nalgonda,2025-10,119,494,biometric
Andhra Pradesh,Nalgonda,2025-11,111,496,biometric
Andhra Pradesh,Nalgonda,2025-12,102,703,biometric
Andhra Pradesh,Nandyal,2025-01,3768,2666,biometric
Andhra Pradesh,Nandyal,2025-02,135,70,biometric
Andhra Pradesh,Nandyal,2025-03,85,75,biometric
Andhra Pradesh,Nandyal,2025-04,125,95,biometric
Andhra Pradesh,Nandyal,2025-05,57,50,biometric
Andhra Pradesh,Nandyal,2025-06,77,71,biometric
Andhra Pradesh,Nandyal,2025-07,38,27,biometric
Andhra Pradesh,Nandyal,2025-08,79,60,biometric
Andhra Pradesh,Nandyal,2025-09,81,65,biometric
Andhra Pradesh,Nandyal,2025-10,58,55,biometric
Andhra Pradesh,Nandyal,2025-11,65,69,biometric
Andhra Pradesh,Nandyal,2025-12,85,64,biometric
Andhra Pradesh,Nellore,2025-01,68805,36501,biometric
Andhra Pradesh,Nellore,2025-02,1075,912,biometric
Andhra Pradesh,Nellore,2025-03,882,883,biometric
Andhra Pradesh,Nellore,2025-04,1182,1171,biometric
Andhra Pradesh,Nellore,2025-05,728,661,biometric
Andhra Pradesh,Nellore,2025-06,915,914,biometric
Andhra Pradesh,Nellore,2025-07,711,428,biometric
Andhra Pradesh,Nellore,2025-08,964,901,biometric
Andhra Pradesh,Nellore,2025-09,589,867,biometric
Andhra Pradesh,Nellore,2025-10,956,841,biometric
Andhra Pradesh,Nellore,2025-11,936,967,biometric
Andhra Pradesh,Nellore,2025-12,1119,1168,biometric
Andhra Pradesh,Nizamabad,2025-01,1461,3783,biometric
Andhra Pradesh,Nizamabad,2025-02,81,149,biometric
Andhra Pradesh,Nizamabad,2025-03,96,170,biometric
Andhra Pradesh,Nizamabad,2025-04,105,176,biometric
Andhra Pradesh,Nizamabad,2025-05,42,60,biometric
Andhra Pradesh,Nizamabad,2025-06,55,141,biometric
Andhra Pradesh,Nizamabad,2025-07,39,73,biometric
Andhra Pradesh,Nizamabad,2025-08,69,108,biometric
Andhra Pradesh,Nizamabad,2025-09,58,114,biometric
Andhra Pradesh,Nizamabad,2025-10,68,148,biometric
Andhra Pradesh,Nizamabad,2025-11,72,161,biometric
