state,district,month,bio_age_5_17,bio_age_17_
Andhra Pradesh,Ananthapuramu,2025-07,282,116
Andhra Pradesh,Ananthapuramu,2025-08,471,242
Andhra Pradesh,Ananthapuramu,2025-09,420,275
Andhra Pradesh,Ananthapuramu,2025-10,563,224
Andhra Pradesh,Ananthapuramu,2025-11,455,271
Andhra Pradesh,Ananthapuramu,2025-12,591,326
Andhra Pradesh,Annamayya,2025-01,3658,2294
Andhra Pradesh,Annamayya,2025-02,65,69
Andhra Pradesh,Annamayya,2025-03,40,56
Andhra Pradesh,Annamayya,2025-04,92,80
Andhra Pradesh,Annamayya,2025-05,52,65
Andhra Pradesh,Annamayya,2025-06,63,79
Andhra Pradesh,Annamayya,2025-07,27,19
Andhra Pradesh,Annamayya,2025-08,54,73
Andhra Pradesh,Annamayya,2025-09,47,60
Andhra Pradesh,Annamayya,2025-10,53,59
Andhra Pradesh,Annamayya,2025-11,64,64
Andhra Pradesh,Annamayya,2025-12,64,63
Andhra Pradesh,Bapatla,2025-01,1908,1253
Andhra Pradesh,Bapatla,2025-02,84,38
Andhra Pradesh,Bapatla,2025-03,55,35
Andhra Pradesh,Bapatla,2025-04,109,61
Andhra Pradesh,Bapatla,2025-05,78,27
Andhra Pradesh,Bapatla,2025-06,68,38
Andhra Pradesh,Bapatla,2025-07,47,12
Andhra Pradesh,Bapatla,2025-08,49,24
Andhra Pradesh,Bapatla,2025-09,49,23
Andhra Pradesh,Bapatla,2025-10,49,27
Andhra Pradesh,Bapatla,2025-11,52,39
Andhra Pradesh,Bapatla,2025-12,72,42
Andhra Pradesh,Chittoor,2025-01,112614,50232
Andhra Pradesh,Chittoor,2025-02,1530,1360
Andhra Pradesh,Chittoor,2025-03,1862,1110
Andhra Pradesh,Chittoor,2025-04,3600,1824
Andhra Pradesh,Chittoor,2025-05,2410,1134
Andhra Pradesh,Chittoor,2025-06,2394,1457
Andhra Pradesh,Chittoor,2025-07,1382,536
Andhra Pradesh,Chittoor,2025-08,1478,1300
Andhra Pradesh,Chittoor,2025-09,1090,1252
Andhra Pradesh,Chittoor,2025-10,1298,1155
Andhra Pradesh,Chittoor,2025-11,1237,1215
Andhra Pradesh,Chittoor,2025-12,1753,1640
Andhra Pradesh,Cuddapah,2025-01,79058,31889
Andhra Pradesh,Cuddapah,2025-02,1470,962
Andhra Pradesh,Cuddapah,2025-03,1132,968
Andhra Pradesh,Cuddapah,2025-04,1592,1189
Andhra Pradesh,Cuddapah,2025-05,1110,841
Andhra Pradesh,Cuddapah,2025-06,1144,877
Andhra Pradesh,Cuddapah,2025-07,558,372
Andhra Pradesh,Cuddapah,2025-08,963,874
Andhra Pradesh,Cuddapah,2025-09,818,864
Andhra Pradesh,Cuddapah,2025-10,841,744
Andhra Pradesh,Cuddapah,2025-11,1101,949
Andhra Pradesh,Cuddapah,2025-12,1156,1030
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,2005,1726
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,72,49
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,65,47
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,102,61
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,54,47
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,62,58
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,28,21
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,46,48
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,51,43
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,50,33
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,57,57
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,79,54
Andhra Pradesh,East Godavari,2025-01,133483,61304
Andhra Pradesh,East Godavari,2025-02,2196,1256
Andhra Pradesh,East Godavari,2025-03,1926,1333
Andhra Pradesh,East Godavari,2025-04,3033,1867
Andhra Pradesh,East Godavari,2025-05,2108,1216
Andhra Pradesh,East Godavari,2025-06,2270,1375
Andhra Pradesh,East Godavari,2025-07,1435,596
Andhra Pradesh,East Godavari,2025-08,1919,1221
Andhra Pradesh,East Godavari,2025-09,1427,1320
Andhra Pradesh,East Godavari,2025-10,1634,1192
Andhra Pradesh,East Godavari,2025-11,1890,1469
Andhra Pradesh,East Godavari,2025-12,2313,1788
Andhra Pradesh,Eluru,2025-01,2609,2627
Andhra Pradesh,Eluru,2025-02,58,44
Andhra Pradesh,Eluru,2025-03,65,68
Andhra Pradesh,Eluru,2025-04,78,84
Andhra Pradesh,Eluru,2025-05,50,39
Andhra Pradesh,Eluru,2025-06,50,58
Andhra Pradesh,Eluru,2025-07,29,19
Andhra Pradesh,Eluru,2025-08,43,52
Andhra Pradesh,Eluru,2025-09,54,60
Andhra Pradesh,Eluru,2025-10,50,45
Andhra Pradesh,Eluru,2025-11,63,60
Andhra Pradesh,Eluru,2025-12,47,65
Andhra Pradesh,Guntur,2025-01,130649,64403
Andhra Pradesh,Guntur,2025-02,1955,1623
Andhra Pradesh,Guntur,2025-03,1696,1671
Andhra Pradesh,Guntur,2025-04,2574,2145
Andhra Pradesh,Guntur,2025-05,1765,1317
Andhra Pradesh,Guntur,2025-06,2006,1596
Andhra Pradesh,Guntur,2025-07,1247,575
Andhra Pradesh,Guntur,2025-08,1853,1338
Andhra Pradesh,Guntur,2025-09,1430,1421
Andhra Pradesh,Guntur,2025-10,1712,1466
Andhra Pradesh,Guntur,2025-11,1851,1467
Andhra Pradesh,Guntur,2025-12,2262,1934
Andhra Pradesh,Hyderabad,2025-01,12449,50539
Andhra Pradesh,Hyderabad,2025-02,507,1192
Andhra Pradesh,Hyderabad,2025-03,426,1252
Andhra Pradesh,Hyderabad,2025-04,597,1735
Andhra Pradesh,Hyderabad,2025-05,245,707
Andhra Pradesh,Hyderabad,2025-06,379,950
Andhra Pradesh,Hyderabad,2025-07,219,487
Andhra Pradesh,Hyderabad,2025-08,466,1291
Andhra Pradesh,Hyderabad,2025-09,344,1280
Andhra Pradesh,Hyderabad,2025-10,362,1131
Andhra Pradesh,Hyderabad,2025-11,443,1530
Andhra Pradesh,Hyderabad,2025-12,440,1605
Andhra Pradesh,K.V. Rangareddy,2025-01,40,25
Andhra Pradesh,K.V. Rangareddy,2025-02,7,9
Andhra Pradesh,K.V. Rangareddy,2025-03,5,5
Andhra Pradesh,K.V. Rangareddy,2025-04,10,16
Andhra Pradesh,K.V. Rangareddy,2025-05,0,5
Andhra Pradesh,K.V. Rangareddy,2025-06,3,5
Andhra Pradesh,K.V. Rangareddy,2025-07,2,2
Andhra Pradesh,K.V. Rangareddy,2025-08,1,9
Andhra Pradesh,K.V. Rangareddy,2025-09,5,3
Andhra Pradesh,K.V. Rangareddy,2025-10,1,5
Andhra Pradesh,K.V. Rangareddy,2025-11,1,6
Andhra Pradesh,K.V. Rangareddy,2025-12,13,9
Andhra Pradesh,K.V.Rangareddy,2025-01,17,25
Andhra Pradesh,K.V.Rangareddy,2025-02,12,19
Andhra Pradesh,K.V.Rangareddy,2025-03,9,19
Andhra Pradesh,K.V.Rangareddy,2025-04,6,27
Andhra Pradesh,K.V.Rangareddy,2025-05,4,4
Andhra Pradesh,K.V.Rangareddy,2025-06,3,16
Andhra Pradesh,K.V.Rangareddy,2025-07,2,13
Andhra Pradesh,K.V.Rangareddy,2025-08,3,16
Andhra Pradesh,K.V.Rangareddy,2025-09,5,19
Andhra Pradesh,K.V.Rangareddy,2025-10,2,18
Andhra Pradesh,K.V.Rangareddy,2025-11,9,22
Andhra Pradesh,K.V.Rangareddy,2025-12,4,33
Andhra Pradesh,Kakinada,2025-01,3970,3033
Andhra Pradesh,Kakinada,2025-02,94,55
Andhra Pradesh,Kakinada,2025-03,67,66
Andhra Pradesh,Kakinada,2025-04,154,87
Andhra Pradesh,Kakinada,2025-05,96,48
Andhra Pradesh,Kakinada,2025-06,117,67
Andhra Pradesh,Kakinada,2025-07,84,24
Andhra Pradesh,Kakinada,2025-08,85,52
Andhra Pradesh,Kakinada,2025-09,64,81
Andhra Pradesh,Kakinada,2025-10,60,42
Andhra Pradesh,Kakinada,2025-11,85,63
Andhra Pradesh,Kakinada,2025-12,113,91
Andhra Pradesh,Karim Nagar,2025-01,131,472
Andhra Pradesh,Karim Nagar,2025-02,10,33
Andhra Pradesh,Karim Nagar,2025-03,13,26
Andhra Pradesh,Karim Nagar,2025-04,16,44
Andhra Pradesh,Karim Nagar,2025-05,9,23
Andhra Pradesh,Karim Nagar,2025-06,11,43
Andhra Pradesh,Karim Nagar,2025-07,8,13
Andhra Pradesh,Karim Nagar,2025-08,8,35
Andhra Pradesh,Karim Nagar,2025-09,7,42
Andhra Pradesh,Karim Nagar,2025-10,9,30
Andhra Pradesh,Karim Nagar,2025-11,10,39
Andhra Pradesh,Karim Nagar,2025-12,10,54
Andhra Pradesh,Karimnagar,2025-01,1830,5855
Andhra Pradesh,Karimnagar,2025-02,106,311
Andhra Pradesh,Karimnagar,2025-03,106,306
Andhra Pradesh,Karimnagar,2025-04,178,422
Andhra Pradesh,Karimnagar,2025-05,80,140
Andhra Pradesh,Karimnagar,2025-06,105,194
Andhra Pradesh,Karimnagar,2025-07,63,105
Andhra Pradesh,Karimnagar,2025-08,88,219
Andhra Pradesh,Karimnagar,2025-09,93,299
Andhra Pradesh,Karimnagar,2025-10,93,339
Andhra Pradesh,Karimnagar,2025-11,97,347
Andhra Pradesh,Karimnagar,2025-12,84,362
Andhra Pradesh,Khammam,2025-01,7323,15475
Andhra Pradesh,Khammam,2025-02,330,359
Andhra Pradesh,Khammam,2025-03,297,329
Andhra Pradesh,Khammam,2025-04,513,492
Andhra Pradesh,Khammam,2025-05,144,196
Andhra Pradesh,Khammam,2025-06,273,295
Andhra Pradesh,Khammam,2025-07,190,159
Andhra Pradesh,Khammam,2025-08,297,347
Andhra Pradesh,Khammam,2025-09,187,366
Andhra Pradesh,Khammam,2025-10,258,323
Andhra Pradesh,Khammam,2025-11,350,387
Andhra Pradesh,Khammam,2025-12,359,452
Andhra Pradesh,Krishna,2025-01,100551,52440
Andhra Pradesh,Krishna,2025-02,1499,1473
Andhra Pradesh,Krishna,2025-03,1269,1414
Andhra Pradesh,Krishna,2025-04,2173,1765
Andhra Pradesh,Krishna,2025-05,1577,1089
Andhra Pradesh,Krishna,2025-06,1826,1398
Andhra Pradesh,Krishna,2025-07,1267,558
Andhra Pradesh,Krishna,2025-08,1642,1344
Andhra Pradesh,Krishna,2025-09,962,1287
Andhra Pradesh,Krishna,2025-10,1126,1160
Andhra Pradesh,Krishna,2025-11,1335,1431
Andhra Pradesh,Krishna,2025-12,1783,1778
Andhra Pradesh,Kurnool,2025-01,176069,63924
Andhra Pradesh,Kurnool,2025-02,2705,1773
Andhra Pradesh,Kurnool,2025-03,2363,1795
Andhra Pradesh,Kurnool,2025-04,3250,2588
Andhra Pradesh,Kurnool,2025-05,1844,1381
Andhra Pradesh,Kurnool,2025-06,2316,1784
Andhra Pradesh,Kurnool,2025-07,1207,734
Andhra Pradesh,Kurnool,2025-08,1961,1559
Andhra Pradesh,Kurnool,2025-09,1603,1616
Andhra Pradesh,Kurnool,2025-10,1446,1313
Andhra Pradesh,Kurnool,2025-11,1986,1707
Andhra Pradesh,Kurnool,2025-12,2126,2121
Andhra Pradesh,Mahabub Nagar,2025-01,284,1713
Andhra Pradesh,Mahabub Nagar,2025-02,21,416
Andhra Pradesh,Mahabub Nagar,2025-03,23,450
Andhra Pradesh,Mahabub Nagar,2025-04,29,598
Andhra Pradesh,Mahabub Nagar,2025-05,17,207
Andhra Pradesh,Mahabub Nagar,2025-06,17,348
Andhra Pradesh,Mahabub Nagar,2025-07,12,176
Andhra Pradesh,Mahabub Nagar,2025-08,28,455
Andhra Pradesh,Mahabub Nagar,2025-09,20,390
Andhra Pradesh,Mahabub Nagar,2025-10,20,400
Andhra Pradesh,Mahabub Nagar,2025-11,16,434
Andhra Pradesh,Mahabub Nagar,2025-12,22,557
Andhra Pradesh,Mahabubnagar,2025-01,3,4
Andhra Pradesh,Mahabubnagar,2025-02,2,6
Andhra Pradesh,Mahabubnagar,2025-03,1,1
Andhra Pradesh,Mahabubnagar,2025-04,0,4
Andhra Pradesh,Mahabubnagar,2025-05,2,2
Andhra Pradesh,Mahabubnagar,2025-06,2,1
Andhra Pradesh,Mahabubnagar,2025-07,0,1
Andhra Pradesh,Mahabubnagar,2025-08,3,3
Andhra Pradesh,Mahabubnagar,2025-09,0,1
Andhra Pradesh,Mahabubnagar,2025-10,2,6
Andhra Pradesh,Mahabubnagar,2025-11,0,1
Andhra Pradesh,Mahabubnagar,2025-12,0,3
Andhra Pradesh,Mahbubnagar,2025-01,1447,5048
Andhra Pradesh,Mahbubnagar,2025-02,51,257
Andhra Pradesh,Mahbubnagar,2025-03,66,307
Andhra Pradesh,Mahbubnagar,2025-04,115,356
Andhra Pradesh,Mahbubnagar,2025-05,50,136
Andhra Pradesh,Mahbubnagar,2025-06,67,211
Andhra Pradesh,Mahbubnagar,2025-07,40,107
Andhra Pradesh,Mahbubnagar,2025-08,69,220
Andhra Pradesh,Mahbubnagar,2025-09,44,292
Andhra Pradesh,Mahbubnagar,2025-10,46,219
Andhra Pradesh,Mahbubnagar,2025-11,62,265
Andhra Pradesh,Mahbubnagar,2025-12,53,306
Andhra Pradesh,Medak,2025-01,2600,7559
Andhra Pradesh,Medak,2025-02,109,406
Andhra Pradesh,Medak,2025-03,155,400
Andhra Pradesh,Medak,2025-04,216,525
Andhra Pradesh,Medak,2025-05,85,185
Andhra Pradesh,Medak,2025-06,130,300
Andhra Pradesh,Medak,2025-07,82,129
Andhra Pradesh,Medak,2025-08,128,287
Andhra Pradesh,Medak,2025-09,106,393
Andhra Pradesh,Medak,2025-10,144,283
Andhra Pradesh,Medak,2025-11,166,342
Andhra Pradesh,Medak,2025-12,135,359
Andhra Pradesh,N. T. R,2025-01,4296,4709
Andhra Pradesh,N. T. R,2025-02,91,82
Andhra Pradesh,N. T. R,2025-03,69,95
Andhra Pradesh,N. T. R,2025-04,101,97
Andhra Pradesh,N. T. R,2025-05,69,80
Andhra Pradesh,N. T. R,2025-06,88,85
Andhra Pradesh,N. T. R,2025-07,70,37
Andhra Pradesh,N. T. R,2025-08,82,96
Andhra Pradesh,N. T. R,2025-09,53,82
Andhra Pradesh,N. T. R,2025-10,66,65
Andhra Pradesh,N. T. R,2025-11,82,85
Andhra Pradesh,N. T. R,2025-12,99,78
Andhra Pradesh,Nalgonda,2025-01,2495,11597
Andhra Pradesh,Nalgonda,2025-02,130,630
Andhra Pradesh,Nalgonda,2025-03,133,626
Andhra Pradesh,Nalgonda,2025-04,180,777
Andhra Pradesh,Nalgonda,2025-05,93,333
Andhra Pradesh,Nalgonda,2025-06,112,506
Andhra Pradesh,Nalgonda,2025-07,73,214
Andhra Pradesh,Nalgonda,2025-08,120,509
Andhra Pradesh,Nalgonda,2025-09,116,523
Andhra Pradesh,Nalgonda,2025-10,119,494
Andhra Pradesh,Nalgonda,2025-11,111,496
Andhra Pradesh,Nalgonda,2025-12,102,703
Andhra Pradesh,Nandyal,2025-01,3768,2666
Andhra Pradesh,Nandyal,2025-02,135,70
Andhra Pradesh,Nandyal,2025-03,85,75
Andhra Pradesh,Nandyal,2025-04,125,95
Andhra Pradesh,Nandyal,2025-05,57,50
Andhra Pradesh,Nandyal,2025-06,77,71
Andhra Pradesh,Nandyal,2025-07,38,27
Andhra Pradesh,Nandyal,2025-08,79,60
Andhra Pradesh,Nandyal,2025-09,81,65
Andhra Pradesh,Nandyal,2025-10,58,55
Andhra Pradesh,Nandyal,2025-11,65,69
Andhra Pradesh,Nandyal,2025-12,85,64
Andhra Pradesh,Nellore,2025-01,68805,36501
Andhra Pradesh,Nellore,2025-02,1075,912
Andhra Pradesh,Nellore,2025-03,882,883
Andhra Pradesh,Nellore,2025-04,1182,1171
Andhra Pradesh,Nellore,2025-05,728,661
Andhra Pradesh,Nellore,2025-06,915,914
Andhra Pradesh,Nellore,2025-07,711,428
Andhra Pradesh,Nellore,2025-08,964,901
Andhra Pradesh,Nellore,2025-09,589,867
Andhra Pradesh,Nellore,2025-10,956,841
Andhra Pradesh,Nellore,2025-11,936,967
Andhra Pradesh,Nellore,2025-12,1119,1168
Andhra Pradesh,Nizamabad,2025-01,1461,3783
Andhra Pradesh,Nizamabad,2025-02,81,149
Andhra Pradesh,Nizamabad,2025-03,96,170
Andhra Pradesh,Nizamabad,2025-04,105,176
Andhra Pradesh,Nizamabad,2025-05,42,60
Andhra Pradesh,Nizamabad,2025-06,55,141
Andhra Pradesh,Nizamabad,2025-07,39,73
Andhra Pradesh,Nizamabad,2025-08,69,108
Andhra Pradesh,Nizamabad,2025-09,58,114
Andhra Pradesh,Nizamabad,2025-10,68,148
Andhra Pradesh,Nizamabad,2025-11,72,161
Andhra Pradesh,Nizamabad,2025-12,66,208
Andhra Pradesh,Palnadu,2025-01,4034,2712
Andhra Pradesh,Palnadu,2025-02,64,63
Andhra Pradesh,Palnadu,2025-03,66,65
Andhra Pradesh,Palnadu,2025-04,90,76
Andhra Pradesh,Palnadu,2025-05,58,36
Andhra Pradesh,Palnadu,2025-06,82,56
Andhra Pradesh,Palnadu,2025-07,39,21
Andhra Pradesh,Palnadu,2025-08,55,55
Andhra Pradesh,Palnadu,2025-09,41,41
Andhra Pradesh,Palnadu,2025-10,65,47
Andhra Pradesh,Palnadu,2025-11,66,52
Andhra Pradesh,Palnadu,2025-12,78,69
Andhra Pradesh,Parvathipuram Manyam,2025-01,3773,3620
Andhra Pradesh,Parvathipuram Manyam,2025-02,49,71
Andhra Pradesh,Parvathipuram Manyam,2025-03,43,77
Andhra Pradesh,Parvathipuram Manyam,2025-04,50,106
Andhra Pradesh,Parvathipuram Manyam,2025-05,28,57
Andhra Pradesh,Parvathipuram Manyam,2025-06,35,56
Andhra Pradesh,Parvathipuram Manyam,2025-07,15,19
Andhra Pradesh,Parvathipuram Manyam,2025-08,50,66
Andhra Pradesh,Parvathipuram Manyam,2025-09,38,72
Andhra Pradesh,Parvathipuram Manyam,2025-10,55,50
Andhra Pradesh,Parvathipuram Manyam,2025-11,49,84
Andhra Pradesh,Parvathipuram Manyam,2025-12,44,92
Andhra Pradesh,Prakasam,2025-01,98658,45198
Andhra Pradesh,Prakasam,2025-02,1570,1242
Andhra Pradesh,Prakasam,2025-03,1225,1383
Andhra Pradesh,Prakasam,2025-04,1887,1872
Andhra Pradesh,Prakasam,2025-05,1117,940
Andhra Pradesh,Prakasam,2025-06,1364,1220
Andhra Pradesh,Prakasam,2025-07,863,515
Andhra Pradesh,Prakasam,2025-08,1299,1115
Andhra Pradesh,Prakasam,2025-09,994,1074
Andhra Pradesh,Prakasam,2025-10,1244,1174
Andhra Pradesh,Prakasam,2025-11,1271,1106
Andhra Pradesh,Prakasam,2025-12,1483,1542
Andhra Pradesh,Rangareddi,2025-01,6711,25224
Andhra Pradesh,Rangareddi,2025-02,251,665
Andhra Pradesh,Rangareddi,2025-03,267,668
Andhra Pradesh,Rangareddi,2025-04,322,896
Andhra Pradesh,Rangareddi,2025-05,124,354
Andhra Pradesh,Rangareddi,2025-06,230,494
Andhra Pradesh,Rangareddi,2025-07,157,287
Andhra Pradesh,Rangareddi,2025-08,283,619
Andhra Pradesh,Rangareddi,2025-09,186,685
Andhra Pradesh,Rangareddi,2025-10,220,611
Andhra Pradesh,Rangareddi,2025-11,276,710
Andhra Pradesh,Rangareddi,2025-12,273,772
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,3758,2276
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,103,56
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,72,47
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,103,68
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,59,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,81,60
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,43,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,76,37
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,52,53
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,93,46
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,83,45
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,106,52
Andhra Pradesh,Sri Sathya Sai,2025-01,3828,2668
