state,district,month,demo_age_5_17,demo_age_17_
Andhra Pradesh,Cuddapah,2025-05,211,894
Andhra Pradesh,Cuddapah,2025-06,241,1307
Andhra Pradesh,Cuddapah,2025-07,253,920
Andhra Pradesh,Cuddapah,2025-08,202,1233
Andhra Pradesh,Cuddapah,2025-09,149,1062
Andhra Pradesh,Cuddapah,2025-10,119,1125
Andhra Pradesh,Cuddapah,2025-11,226,1565
Andhra Pradesh,Cuddapah,2025-12,215,1557
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,405,2905
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,35,291
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,46,291
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,22,193
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,29,188
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,25,204
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,31,279
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,30,169
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,30,250
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,16,121
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,25,297
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,24,247
Andhra Pradesh,East Godavari,2025-01,4460,40423
Andhra Pradesh,East Godavari,2025-02,396,2271
Andhra Pradesh,East Godavari,2025-03,417,2793
Andhra Pradesh,East Godavari,2025-04,307,2174
Andhra Pradesh,East Godavari,2025-05,217,1282
Andhra Pradesh,East Godavari,2025-06,324,2056
Andhra Pradesh,East Godavari,2025-07,355,1573
Andhra Pradesh,East Godavari,2025-08,261,1716
Andhra Pradesh,East Godavari,2025-09,272,2182
Andhra Pradesh,East Godavari,2025-10,218,1750
Andhra Pradesh,East Godavari,2025-11,292,2552
Andhra Pradesh,East Godavari,2025-12,294,2621
Andhra Pradesh,Eluru,2025-01,522,3397
Andhra Pradesh,Eluru,2025-02,58,369
Andhra Pradesh,Eluru,2025-03,40,381
Andhra Pradesh,Eluru,2025-04,23,205
Andhra Pradesh,Eluru,2025-05,34,225
Andhra Pradesh,Eluru,2025-06,39,314
Andhra Pradesh,Eluru,2025-07,78,374
Andhra Pradesh,Eluru,2025-08,38,240
Andhra Pradesh,Eluru,2025-09,38,336
Andhra Pradesh,Eluru,2025-10,24,131
Andhra Pradesh,Eluru,2025-11,36,313
Andhra Pradesh,Eluru,2025-12,45,337
Andhra Pradesh,Guntur,2025-01,5905,53600
Andhra Pradesh,Guntur,2025-02,495,2185
Andhra Pradesh,Guntur,2025-03,437,2726
Andhra Pradesh,Guntur,2025-04,357,2172
Andhra Pradesh,Guntur,2025-05,315,1460
Andhra Pradesh,Guntur,2025-06,383,2169
Andhra Pradesh,Guntur,2025-07,425,1688
Andhra Pradesh,Guntur,2025-08,246,1472
Andhra Pradesh,Guntur,2025-09,293,1971
Andhra Pradesh,Guntur,2025-10,186,1658
Andhra Pradesh,Guntur,2025-11,343,2487
Andhra Pradesh,Guntur,2025-12,305,2396
Andhra Pradesh,Hyderabad,2025-01,677,5440
Andhra Pradesh,Hyderabad,2025-02,149,870
Andhra Pradesh,Hyderabad,2025-03,133,1072
Andhra Pradesh,Hyderabad,2025-04,109,890
Andhra Pradesh,Hyderabad,2025-05,80,330
Andhra Pradesh,Hyderabad,2025-06,81,419
Andhra Pradesh,Hyderabad,2025-07,112,549
Andhra Pradesh,Hyderabad,2025-08,55,501
Andhra Pradesh,Hyderabad,2025-09,99,676
Andhra Pradesh,Hyderabad,2025-10,68,590
Andhra Pradesh,Hyderabad,2025-11,117,864
Andhra Pradesh,Hyderabad,2025-12,84,741
Andhra Pradesh,K.V. Rangareddy,2025-01,1,4
Andhra Pradesh,K.V. Rangareddy,2025-02,5,6
Andhra Pradesh,K.V. Rangareddy,2025-03,1,7
Andhra Pradesh,K.V. Rangareddy,2025-04,0,5
Andhra Pradesh,K.V. Rangareddy,2025-05,1,1
Andhra Pradesh,K.V. Rangareddy,2025-06,0,4
Andhra Pradesh,K.V. Rangareddy,2025-07,0,4
Andhra Pradesh,K.V. Rangareddy,2025-08,0,3
Andhra Pradesh,K.V. Rangareddy,2025-09,0,5
Andhra Pradesh,K.V. Rangareddy,2025-10,2,5
Andhra Pradesh,K.V. Rangareddy,2025-11,0,3
Andhra Pradesh,K.V. Rangareddy,2025-12,1,2
Andhra Pradesh,K.V.Rangareddy,2025-01,2,26
Andhra Pradesh,K.V.Rangareddy,2025-02,3,12
Andhra Pradesh,K.V.Rangareddy,2025-03,1,14
Andhra Pradesh,K.V.Rangareddy,2025-04,2,19
Andhra Pradesh,K.V.Rangareddy,2025-05,3,4
Andhra Pradesh,K.V.Rangareddy,2025-06,0,6
Andhra Pradesh,K.V.Rangareddy,2025-07,2,7
Andhra Pradesh,K.V.Rangareddy,2025-08,2,8
Andhra Pradesh,K.V.Rangareddy,2025-09,0,8
Andhra Pradesh,K.V.Rangareddy,2025-10,0,12
Andhra Pradesh,K.V.Rangareddy,2025-11,0,15
Andhra Pradesh,K.V.Rangareddy,2025-12,1,17
Andhra Pradesh,Kakinada,2025-01,1246,8634
Andhra Pradesh,Kakinada,2025-02,54,395
Andhra Pradesh,Kakinada,2025-03,72,474
Andhra Pradesh,Kakinada,2025-04,32,261
Andhra Pradesh,Kakinada,2025-05,44,249
Andhra Pradesh,Kakinada,2025-06,57,339
Andhra Pradesh,Kakinada,2025-07,56,445
Andhra Pradesh,Kakinada,2025-08,41,233
Andhra Pradesh,Kakinada,2025-09,48,400
Andhra Pradesh,Kakinada,2025-10,26,284
Andhra Pradesh,Kakinada,2025-11,51,382
Andhra Pradesh,Kakinada,2025-12,49,366
Andhra Pradesh,Karim Nagar,2025-01,7,46
Andhra Pradesh,Karim Nagar,2025-02,3,45
Andhra Pradesh,Karim Nagar,2025-03,4,42
Andhra Pradesh,Karim Nagar,2025-04,4,46
Andhra Pradesh,Karim Nagar,2025-05,1,5
Andhra Pradesh,Karim Nagar,2025-06,1,22
Andhra Pradesh,Karim Nagar,2025-07,1,20
Andhra Pradesh,Karim Nagar,2025-08,2,32
Andhra Pradesh,Karim Nagar,2025-09,4,26
Andhra Pradesh,Karim Nagar,2025-10,1,20
Andhra Pradesh,Karim Nagar,2025-11,1,26
Andhra Pradesh,Karim Nagar,2025-12,4,36
Andhra Pradesh,Karimnagar,2025-01,98,865
Andhra Pradesh,Karimnagar,2025-02,35,301
Andhra Pradesh,Karimnagar,2025-03,23,343
Andhra Pradesh,Karimnagar,2025-04,53,510
Andhra Pradesh,Karimnagar,2025-05,15,93
Andhra Pradesh,Karimnagar,2025-06,17,185
Andhra Pradesh,Karimnagar,2025-07,32,183
Andhra Pradesh,Karimnagar,2025-08,13,135
Andhra Pradesh,Karimnagar,2025-09,20,207
Andhra Pradesh,Karimnagar,2025-10,19,247
Andhra Pradesh,Karimnagar,2025-11,23,212
Andhra Pradesh,Karimnagar,2025-12,34,313
Andhra Pradesh,Khammam,2025-01,486,4807
Andhra Pradesh,Khammam,2025-02,171,795
Andhra Pradesh,Khammam,2025-03,139,794
Andhra Pradesh,Khammam,2025-04,176,943
Andhra Pradesh,Khammam,2025-05,80,245
Andhra Pradesh,Khammam,2025-06,90,464
Andhra Pradesh,Khammam,2025-07,160,431
Andhra Pradesh,Khammam,2025-08,112,424
Andhra Pradesh,Khammam,2025-09,124,541
Andhra Pradesh,Khammam,2025-10,83,566
Andhra Pradesh,Khammam,2025-11,110,688
Andhra Pradesh,Khammam,2025-12,117,728
Andhra Pradesh,Krishna,2025-01,2780,26614
Andhra Pradesh,Krishna,2025-02,357,2048
Andhra Pradesh,Krishna,2025-03,302,2223
Andhra Pradesh,Krishna,2025-04,288,1929
Andhra Pradesh,Krishna,2025-05,212,1174
Andhra Pradesh,Krishna,2025-06,226,1702
Andhra Pradesh,Krishna,2025-07,273,1318
Andhra Pradesh,Krishna,2025-08,195,1358
Andhra Pradesh,Krishna,2025-09,220,1694
Andhra Pradesh,Krishna,2025-10,186,1588
Andhra Pradesh,Krishna,2025-11,262,2051
Andhra Pradesh,Krishna,2025-12,207,1950
Andhra Pradesh,Kurnool,2025-01,9692,57612
Andhra Pradesh,Kurnool,2025-02,652,2061
Andhra Pradesh,Kurnool,2025-03,539,2360
Andhra Pradesh,Kurnool,2025-04,462,2269
Andhra Pradesh,Kurnool,2025-05,425,1400
Andhra Pradesh,Kurnool,2025-06,387,1743
Andhra Pradesh,Kurnool,2025-07,532,1501
Andhra Pradesh,Kurnool,2025-08,325,1337
Andhra Pradesh,Kurnool,2025-09,344,1558
Andhra Pradesh,Kurnool,2025-10,240,1590
Andhra Pradesh,Kurnool,2025-11,389,2135
Andhra Pradesh,Kurnool,2025-12,331,1705
Andhra Pradesh,Mahabub Nagar,2025-01,24,565
Andhra Pradesh,Mahabub Nagar,2025-02,9,355
Andhra Pradesh,Mahabub Nagar,2025-03,10,418
Andhra Pradesh,Mahabub Nagar,2025-04,13,636
Andhra Pradesh,Mahabub Nagar,2025-05,19,145
Andhra Pradesh,Mahabub Nagar,2025-06,7,273
Andhra Pradesh,Mahabub Nagar,2025-07,14,221
Andhra Pradesh,Mahabub Nagar,2025-08,9,233
Andhra Pradesh,Mahabub Nagar,2025-09,16,327
Andhra Pradesh,Mahabub Nagar,2025-10,4,342
Andhra Pradesh,Mahabub Nagar,2025-11,11,343
Andhra Pradesh,Mahabub Nagar,2025-12,11,302
Andhra Pradesh,Mahabubnagar,2025-01,0,2
Andhra Pradesh,Mahabubnagar,2025-02,1,4
Andhra Pradesh,Mahabubnagar,2025-03,0,3
Andhra Pradesh,Mahabubnagar,2025-04,1,4
Andhra Pradesh,Mahabubnagar,2025-06,0,3
Andhra Pradesh,Mahabubnagar,2025-07,1,2
Andhra Pradesh,Mahabubnagar,2025-08,0,1
Andhra Pradesh,Mahabubnagar,2025-09,0,1
Andhra Pradesh,Mahabubnagar,2025-10,0,2
Andhra Pradesh,Mahabubnagar,2025-11,0,3
Andhra Pradesh,Mahabubnagar,2025-12,1,2
Andhra Pradesh,Mahbubnagar,2025-01,176,1234
Andhra Pradesh,Mahbubnagar,2025-02,32,274
Andhra Pradesh,Mahbubnagar,2025-03,26,258
Andhra Pradesh,Mahbubnagar,2025-04,47,377
Andhra Pradesh,Mahbubnagar,2025-05,23,58
Andhra Pradesh,Mahbubnagar,2025-06,24,181
Andhra Pradesh,Mahbubnagar,2025-07,53,140
Andhra Pradesh,Mahbubnagar,2025-08,28,181
Andhra Pradesh,Mahbubnagar,2025-09,28,211
Andhra Pradesh,Mahbubnagar,2025-10,20,179
Andhra Pradesh,Mahbubnagar,2025-11,30,215
Andhra Pradesh,Mahbubnagar,2025-12,31,221
Andhra Pradesh,Medak,2025-01,221,1445
Andhra Pradesh,Medak,2025-02,55,308
Andhra Pradesh,Medak,2025-03,46,381
Andhra Pradesh,Medak,2025-04,94,551
Andhra Pradesh,Medak,2025-05,34,127
Andhra Pradesh,Medak,2025-06,35,246
Andhra Pradesh,Medak,2025-07,66,202
Andhra Pradesh,Medak,2025-08,30,225
Andhra Pradesh,Medak,2025-09,39,251
Andhra Pradesh,Medak,2025-10,28,259
Andhra Pradesh,Medak,2025-11,35,290
Andhra Pradesh,Medak,2025-12,27,226
Andhra Pradesh,N. T. R,2025-01,1574,11468
Andhra Pradesh,N. T. R,2025-02,88,598
Andhra Pradesh,N. T. R,2025-03,85,517
Andhra Pradesh,N. T. R,2025-04,66,467
Andhra Pradesh,N. T. R,2025-05,48,376
Andhra Pradesh,N. T. R,2025-06,77,502
Andhra Pradesh,N. T. R,2025-07,69,555
Andhra Pradesh,N. T. R,2025-08,28,227
Andhra Pradesh,N. T. R,2025-09,66,498
Andhra Pradesh,N. T. R,2025-10,43,301
Andhra Pradesh,N. T. R,2025-11,53,511
Andhra Pradesh,N. T. R,2025-12,43,390
Andhra Pradesh,Nalgonda,2025-01,143,2390
Andhra Pradesh,Nalgonda,2025-02,47,738
Andhra Pradesh,Nalgonda,2025-03,43,862
Andhra Pradesh,Nalgonda,2025-04,113,1719
Andhra Pradesh,Nalgonda,2025-05,30,335
Andhra Pradesh,Nalgonda,2025-06,31,494
Andhra Pradesh,Nalgonda,2025-07,57,462
Andhra Pradesh,Nalgonda,2025-08,38,634
Andhra Pradesh,Nalgonda,2025-09,40,595
Andhra Pradesh,Nalgonda,2025-10,38,709
Andhra Pradesh,Nalgonda,2025-11,38,582
Andhra Pradesh,Nalgonda,2025-12,29,601
Andhra Pradesh,Nandyal,2025-01,2070,9499
Andhra Pradesh,Nandyal,2025-02,58,295
Andhra Pradesh,Nandyal,2025-03,63,294
Andhra Pradesh,Nandyal,2025-04,39,248
Andhra Pradesh,Nandyal,2025-05,47,241
Andhra Pradesh,Nandyal,2025-06,35,214
Andhra Pradesh,Nandyal,2025-07,63,300
Andhra Pradesh,Nandyal,2025-08,42,223
Andhra Pradesh,Nandyal,2025-09,58,213
Andhra Pradesh,Nandyal,2025-10,47,221
Andhra Pradesh,Nandyal,2025-11,43,197
Andhra Pradesh,Nandyal,2025-12,29,180
Andhra Pradesh,Nellore,2025-01,899,12649
Andhra Pradesh,Nellore,2025-02,259,1232
Andhra Pradesh,Nellore,2025-03,188,1339
Andhra Pradesh,Nellore,2025-04,235,1704
Andhra Pradesh,Nellore,2025-05,162,1028
Andhra Pradesh,Nellore,2025-06,155,1194
Andhra Pradesh,Nellore,2025-07,154,813
Andhra Pradesh,Nellore,2025-08,147,1238
Andhra Pradesh,Nellore,2025-09,130,959
Andhra Pradesh,Nellore,2025-10,138,1428
Andhra Pradesh,Nellore,2025-11,153,1325
Andhra Pradesh,Nellore,2025-12,127,1167
Andhra Pradesh,Nizamabad,2025-01,57,434
Andhra Pradesh,Nizamabad,2025-02,27,189
Andhra Pradesh,Nizamabad,2025-03,26,134
Andhra Pradesh,Nizamabad,2025-04,56,323
Andhra Pradesh,Nizamabad,2025-05,14,57
Andhra Pradesh,Nizamabad,2025-06,15,66
Andhra Pradesh,Nizamabad,2025-07,24,102
Andhra Pradesh,Nizamabad,2025-08,22,95
Andhra Pradesh,Nizamabad,2025-09,17,89
Andhra Pradesh,Nizamabad,2025-10,9,141
Andhra Pradesh,Nizamabad,2025-11,22,107
Andhra Pradesh,Nizamabad,2025-12,11,100
Andhra Pradesh,Palnadu,2025-01,1470,8151
Andhra Pradesh,Palnadu,2025-02,54,344
Andhra Pradesh,Palnadu,2025-03,36,303
Andhra Pradesh,Palnadu,2025-04,57,255
Andhra Pradesh,Palnadu,2025-05,56,309
Andhra Pradesh,Palnadu,2025-06,32,214
Andhra Pradesh,Palnadu,2025-07,49,320
Andhra Pradesh,Palnadu,2025-08,48,234
Andhra Pradesh,Palnadu,2025-09,48,272
Andhra Pradesh,Palnadu,2025-10,40,203
Andhra Pradesh,Palnadu,2025-11,39,219
Andhra Pradesh,Palnadu,2025-12,28,160
Andhra Pradesh,Parvathipuram Manyam,2025-01,313,2040
Andhra Pradesh,Parvathipuram Manyam,2025-02,39,156
Andhra Pradesh,Parvathipuram Manyam,2025-03,33,141
Andhra Pradesh,Parvathipuram Manyam,2025-04,23,127
Andhra Pradesh,Parvathipuram Manyam,2025-05,48,159
Andhra Pradesh,Parvathipuram Manyam,2025-06,28,165
Andhra Pradesh,Parvathipuram Manyam,2025-07,38,127
Andhra Pradesh,Parvathipuram Manyam,2025-08,29,129
Andhra Pradesh,Parvathipuram Manyam,2025-09,23,119
Andhra Pradesh,Parvathipuram Manyam,2025-10,19,132
Andhra Pradesh,Parvathipuram Manyam,2025-11,25,129
Andhra Pradesh,Parvathipuram Manyam,2025-12,20,132
Andhra Pradesh,Prakasam,2025-01,2616,26138
Andhra Pradesh,Prakasam,2025-02,463,2035
Andhra Pradesh,Prakasam,2025-03,350,2255
Andhra Pradesh,Prakasam,2025-04,482,2605
Andhra Pradesh,Prakasam,2025-05,374,1500
Andhra Pradesh,Prakasam,2025-06,325,1765
Andhra Pradesh,Prakasam,2025-07,435,1460
Andhra Pradesh,Prakasam,2025-08,397,2109
Andhra Pradesh,Prakasam,2025-09,285,1674
Andhra Pradesh,Prakasam,2025-10,247,2283
Andhra Pradesh,Prakasam,2025-11,256,1790
Andhra Pradesh,Prakasam,2025-12,246,2039
Andhra Pradesh,Rangareddi,2025-01,441,2911
Andhra Pradesh,Rangareddi,2025-02,118,500
Andhra Pradesh,Rangareddi,2025-03,99,504
Andhra Pradesh,Rangareddi,2025-04,179,946
Andhra Pradesh,Rangareddi,2025-05,101,286
Andhra Pradesh,Rangareddi,2025-06,65,250
Andhra Pradesh,Rangareddi,2025-07,111,333
Andhra Pradesh,Rangareddi,2025-08,62,428
Andhra Pradesh,Rangareddi,2025-09,101,418
Andhra Pradesh,Rangareddi,2025-10,53,456
Andhra Pradesh,Rangareddi,2025-11,80,350
Andhra Pradesh,Rangareddi,2025-12,78,463
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,903,5494
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,60,436
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,42,323
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,50,273
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,59,324
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,61,357
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,72,365
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,41,310
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,52,395
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,49,267
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,32,280
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,37,294
Andhra Pradesh,Sri Sathya Sai,2025-01,1318,5390
Andhra Pradesh,Sri Sathya Sai,2025-02,103,382
Andhra Pradesh,Sri Sathya Sai,2025-03,72,385
Andhra Pradesh,Sri Sathya Sai,2025-04,70,283
